nome,contato,rede_social,latitude_longitude,endereco
Maria Cristolange Alves Wanzeler ,91981332404,não disponível,"-1.4586106,-48.4640409,17","Travessa Guerra Passos, 1119"
Açaí da Rosa ,91985327826,https://www.instagram.com/acai.da_rosa/,"-1.3044471,-48.4740797,17","Passagem São José de Ribamar, 86, Agulha"
Distribuidora de Açaí Deus é fiel,91987490035,https://www.instagram.com/acai_deusefiel/,"-1.3068075,-48.4716129,17","Rua 8 de Maio, 585"
Vitaminosa do Baixinho ,91981374406,https://www.instagram.com/acaidobaixinhooficial/,"-1.4700044,-48.4979938,17","Trav. De Breves, 1250"
Açaí do Dinho ,91988576313,https://www.instagram.com/acai.dinho/,"-1.4704084,-48.5018819,17","Ps. Moura Carvalho, 02 - Entrada Vila Nova"
Açaí do JN ,91992505211,https://www.instagram.com/acai_junioroficial/,"-1.4647779,-48.4922612,17","Trav. Dos Tupinambás, 561"
Açaí do Preto ,não disponível,https://www.instagram.com/acaidopretoprime/,"-1.4692012,-48.4951734,17","Rua dos Caripunas, 728"
Açaí da Ju ,não disponível,https://www.instagram.com/acai_daju/,"-1.4703306,-48.4957836,17","Travessa Monte Alegre, 1412"
Ivanildo Brabo Soares ,não disponível,não disponível,"-1.4722756,-48.4995889,17","Rua dos Pariquis, 198"
Açaí do Cream ,não disponível,não disponível,"-1.4709351,-48.4913742,17","Rua São Miguel, 58, QD C"
Super Açaí da Ilha ,não disponível,não disponível,"-1.4738336,-48.4940367,17","Passagem Jacob, 14"
La Fabrica de Açaí LTDA ,91982202187,https://www.instagram.com/lafabricadeacai/?hl=pt,"-1.4644781,-48.4934919,18","Avenida Roberto Camelier, 280"
Açaí do Francisco ,não disponível,não disponível,"-1.4591512,-48.4928206,17","Rua dos Tamoios, 86"
Ponto da Benção ,não disponível,não disponível,"-1.4753616,-48.4888918","Travessa Monte Alegre, 124"
Açaí do Pastor ,91989565635,não disponível,"-1.4717004,-48.4832603,20","Avenida Roberto Camelier, 1599"
Açaí da Eliete ,91989427917,https://www.instagram.com/acai.daeliete/,"-1.378801,-48.4509969,17","Quadra 30, Box 6"
Valdete Ferreira Lima ,não disponível,não disponível,"-1.3721799,-48.4247967,17","Rod. Transcoqueiro, 73-A,"
Açaí Deus Proverá ,91984816817,https://www.instagram.com/omercadaodoacai/reels/,"-1.3562782,-48.4016746,17","Rua Vinte e Nove, Conjunto Promorar, 181, Qd 44"
Açaí do Vulcão ,91989566142,https://www.instagram.com/acaidovulcao/,"-1.4453881,-48.4705509,17","Avenida Dalva, 266"
Égua Du Açaí ,91985704024,https://www.instagram.com/eguaduacai/,"-1.4453881,-48.4705509,17","Avenida Rômulo Maiorana, 128"
Iaçá Polpas de Frutas ,91981572711,https://www.instagram.com/iacadopara/,"-1.4438418,-48.4837268,17","Rua Antônio Barreto, 821"
